id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
0,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 2), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, -11)]}",100364571,50,0.9705,0.9552,0.9527,37,"tensor([nan, nan])","tensor([0.2687, 0.0000, 0.0186])","tensor([0.0069, 0.0000, 0.0005])","tensor([0.0070, 0.0000, 0.0005])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_0
1,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, -11)]}",100364571,50,0.9743,0.9584,0.953,40,"tensor([nan, nan])","tensor([0.2547, 0.0000, 0.0177])","tensor([0.0065, 0.0000, 0.0005])","tensor([0.0066, 0.0000, 0.0005])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_1
2,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, -11)]}",100364571,50,0.96952,0.9575,0.9558,40,"tensor([nan, nan])","tensor([0.2363, 0.0000, 0.0164])","tensor([0.0060, 0.0000, 0.0005])","tensor([0.0061, 0.0000, 0.0005])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_2
3,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 2), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, -10)]}",100364571,50,0.97326,0.9548,0.9545,30,"tensor([nan, nan])","tensor([0.2279, 0.0000, 0.0185])","tensor([0.0058, 0.0000, 0.0005])","tensor([0.0058, 0.0000, 0.0005])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_3
4,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, -10)]}",100364571,50,0.97528,0.9616,0.9543,39,"tensor([nan, nan])","tensor([0.2206, 0.0000, 0.0174])","tensor([0.0057, 0.0000, 0.0005])","tensor([0.0057, 0.0000, 0.0005])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_4
5,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, -10)]}",100364571,50,0.9733,0.9589,0.9554,42,"tensor([nan, nan])","tensor([0.1860, 0.0000, 0.0158])","tensor([0.0047, 0.0000, 0.0005])","tensor([0.0048, 0.0000, 0.0005])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_5
6,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 2), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, 9)]}",100364571,50,0.61414,0.7195,0.6923,12,"tensor([nan, nan])","tensor([0.3576, 0.0000, 0.0112])","tensor([0.0091, 0.0000, 0.0006])","tensor([0.0091, 0.0000, 0.0006])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_6
7,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, 9)]}",100364571,50,0.6341,0.737,0.7149,42,"tensor([nan, nan])","tensor([0.3539, 0.0000, 0.0135])","tensor([0.0090, 0.0000, 0.0007])","tensor([0.0090, 0.0000, 0.0007])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_7
8,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 128000.0, 256000.0, 1.0, 9)]}",100364571,50,0.65374,0.7379,0.7188,44,"tensor([nan, nan])","tensor([0.3540, 0.0000, 0.0167])","tensor([0.0090, 0.0000, 0.0005])","tensor([0.0090, 0.0000, 0.0005])",0,0,grid_search_16bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_lr_8
