id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
32,0.93406,0.9421,0.937,49,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 250.0]",32,5,True,0.000244140625,0.00390625,none,512,False,"tensor([ 8.7291, 14.2568])","tensor([ 8.7902, 13.8678])","tensor([ 8.7600, 13.8071])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_32,100364571,50
150,0.89974,0.9129,0.9116,33,"('random', (-1, 2))",32,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,3.0517578125e-05,0.0625,none,0,False,"tensor([ 5.5514, 12.2080])","tensor([ 5.5246, 12.2361])","tensor([ 5.6242, 12.2801])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_150,100364571,50
112,0.89196,0.9161,0.9118,22,"('random', (-1, 2))",32,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,0.00390625,1.0,none,2048,False,"tensor([ 2.2700, 12.0522])","tensor([ 2.2757, 11.9413])","tensor([ 2.3304, 11.9825])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_112,100364571,50
145,0.63714,0.7237,0.7016,4,"('random', (-1, 2))",128,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,3.0517578125e-05,1.0,none,0,False,"tensor([ 2.2288, 37.6816])","tensor([ 2.2207, 33.8640])","tensor([ 2.2589, 34.2566])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_145,100364571,50
124,0.87372,0.893,0.8877,4,"('random', (-1, 2))",32,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,0.00390625,0.00390625,none,2048,False,"tensor([16.0114, 13.2583])","tensor([15.9324, 13.3018])","tensor([16.3958, 13.0590])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_124,100364571,50
155,0.78732,0.8266,0.8082,46,"('random', (-1, 2))",128,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,3.0517578125e-05,0.0625,none,2048,False,"tensor([ 3.1179, 31.6535])","tensor([ 3.0869, 30.1239])","tensor([ 3.1397, 30.4640])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_155,100364571,50
159,0.46242,0.4702,0.4702,2,"('random', (-1, 2))",128,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,3.0517578125e-05,0.00390625,none,512,False,"tensor([13.2608, 47.9594])","tensor([13.5022, 45.7314])","tensor([13.7256, 46.2297])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_159,100364571,50
43,0.93056,0.9444,0.9388,47,"('random', (-1, 2))",128,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 250.0]",32,5,True,3.0517578125e-05,0.0625,none,0,False,"tensor([24.7176, 17.6035])","tensor([24.6458, 16.5667])","tensor([24.8955, 16.7056])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_43,100364571,50
94,0.96838,0.9722,0.9701,26,"('random', (-1, 2))",32,16,16,8,16,0.5,"[500.0, 1000.0]","[500.0, 500.0]",32,5,True,3.0517578125e-05,1.0,none,2048,False,"tensor([ 2.7147, 10.9972])","tensor([ 2.7078, 10.5863])","tensor([ 2.7363, 10.6306])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_94,100364571,50
136,0.9168,0.9266,0.9243,42,"('random', (-1, 2))",32,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,0.000244140625,0.0625,none,2048,False,"tensor([ 8.3854, 11.9839])","tensor([ 8.3150, 12.0375])","tensor([ 8.4914, 12.1042])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_136,100364571,50
