id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
41,0.95822,0.9563,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 2.0]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([22.0920, 14.3132])","tensor([22.0102, 14.2564])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_41,100364571,50
40,0.95352,0.9557,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 2.0]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([26.8893, 12.7499])","tensor([26.7021, 12.8114])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_40,100364571,50
49,0.95516,0.9526,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[0.6, 1.2]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([28.2470, 17.7511])","tensor([28.2386, 17.7397])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_49,100364571,50
46,0.96308,0.958,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[0.3, 0.6]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([25.3949, 15.7045])","tensor([25.4122, 15.5250])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_46,100364571,50
5,0.96254,0.9593,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([26.7811, 16.8784])","tensor([26.7011, 16.9334])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_5,100364571,50
50,0.9683,0.9604,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[0.6, 1.2]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([32.6207, 16.5076])","tensor([32.7006, 16.5833])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_50,100364571,50
23,0.97778,0.9655,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 1.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([24.6743, 16.2859])","tensor([24.5254, 16.0347])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_23,100364571,50
10,0.97148,0.9625,45,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 2.0]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([34.3558, 12.6099])","tensor([34.3150, 12.7707])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_10,100364571,50
37,0.961,0.9605,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([21.8419, 15.9643])","tensor([21.6816, 15.8535])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_37,100364571,50
34,0.9637,0.9624,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[0.6, 1.2]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([28.2374, 14.5656])","tensor([28.1562, 14.2696])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_34,100364571,50
38,0.96684,0.9646,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 1.0]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([30.0507, 17.2411])","tensor([29.9156, 17.0041])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_38,100364571,50
22,0.97444,0.9637,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 1.0]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([28.7243, 17.8046])","tensor([28.6205, 17.6980])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_22,100364571,50
0,0.9533,0.952,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[0.6, 1.2]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([28.7618, 14.6466])","tensor([28.7408, 14.5632])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_0,100364571,50
12,0.9491,0.9478,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[0.3, 0.6]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([26.2795, 18.9612])","tensor([26.1860, 19.0026])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_12,100364571,50
43,0.97038,0.9654,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 2.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([26.7825, 15.4045])","tensor([26.6202, 15.3658])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_43,100364571,50
63,0.9643,0.9601,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[0.3, 0.6]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([26.6746, 19.7652])","tensor([26.6901, 19.9531])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_63,100364571,50
18,0.97464,0.9631,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[0.6, 1.2]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([26.4378, 15.3556])","tensor([26.3721, 15.3384])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_18,100364571,50
51,0.96738,0.9615,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[0.6, 1.2]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([26.2726, 18.4335])","tensor([26.3583, 18.7163])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_51,100364571,50
42,0.96838,0.9627,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 2.0]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([32.6378, 12.9037])","tensor([32.4564, 12.7804])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_42,100364571,50
