id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
38,0.98158,0.9676,0.9645,47,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.6]","[0.3, 0.3]",0.003,0.003,none,0,False,"tensor([22.5780, 13.1899])","tensor([22.6471, 13.2335])","tensor([22.9827, 13.4877])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_38,100364571,50
97,0.95584,0.9562,0.9502,49,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.6]","[0.3, 0.3]",0.001,0.001,none,0,True,"tensor([29.4200, 30.2601])","tensor([29.3017, 29.9275])","tensor([29.5171, 30.0384])","tensor([0.6311, 0.7501])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_97,100364571,50
19,0.97208,0.964,0.9605,42,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.003,none,0,True,"tensor([15.2992, 14.4287])","tensor([14.9838, 14.1926])","tensor([15.6631, 14.8288])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_19,100364571,50
46,0.99412,0.969,0.9688,44,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.6]","[0.3, 0.3]",0.003,0.003,none,0,False,"tensor([ 7.6861, 11.1775])","tensor([ 7.6681, 11.0603])","tensor([ 7.6754, 11.1564])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_46,100364571,50
101,0.97262,0.9668,0.9629,42,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.6]","[0.3, 0.3]",0.003,0.001,none,0,True,"tensor([33.0660, 25.5189])","tensor([33.0293, 24.9186])","tensor([33.2749, 25.2326])","tensor([0.4256, 0.4973])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_101,100364571,50
86,0.99286,0.9752,0.97,47,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.3]","[0.3, 0.6]",0.003,0.003,none,0,False,"tensor([29.2748, 15.0200])","tensor([29.2172, 14.8010])","tensor([29.4964, 14.9403])","tensor([0.1405, 0.1619])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_86,100364571,50
26,0.99712,0.9708,0.9713,49,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.003,none,0,False,"tensor([ 9.5757, 11.7384])","tensor([ 9.6773, 11.6308])","tensor([ 9.6896, 11.6933])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_26,100364571,50
92,0.99698,0.9737,0.9713,40,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.003,0.001,none,0,False,"tensor([14.6391, 13.2865])","tensor([14.6650, 13.1312])","tensor([14.6333, 13.1381])","tensor([0.0800, 0.0941])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_92,100364571,50
84,0.98964,0.972,0.9697,49,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.3]","[0.3, 0.6]",0.003,0.001,none,0,False,"tensor([30.8673, 16.5884])","tensor([30.9138, 16.3376])","tensor([31.1597, 16.4849])","tensor([0.1945, 0.2197])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_84,100364571,50
60,0.98998,0.969,0.9648,31,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.6]","[0.3, 0.6]",0.003,0.001,none,0,False,"tensor([ 7.8428, 15.5289])","tensor([ 7.8738, 15.6130])","tensor([ 7.8285, 15.7014])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_60,100364571,50
