id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
13,0.98976,0.9788,0.9762,49,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[2.0, 4.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 6.1635, 10.3880])","tensor([ 6.1587, 10.2102])","tensor([ 6.1947, 10.2404])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_13,100364571,50
27,0.99332,0.9786,0.9769,48,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.0, 2.0]",32,5,True,0.003,0.003,none,0,False,"tensor([ 3.5740, 10.7821])","tensor([ 3.5399, 10.8984])","tensor([ 3.6057, 11.0086])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_27,100364571,50
63,0.99006,0.9752,0.9734,38,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[2.0, 4.0]",32,5,True,0.003,0.003,none,0,False,"tensor([ 0.5366, 11.6098])","tensor([ 0.5320, 11.6311])","tensor([ 0.5479, 11.6673])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_63,100364571,50
42,0.99708,0.9791,0.9774,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.0, 2.0]",32,5,True,0.003,0.001,none,0,False,"tensor([ 1.6741, 11.4324])","tensor([ 1.6722, 11.4988])","tensor([ 1.6852, 11.5672])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_42,100364571,50
28,0.99686,0.979,0.9771,28,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[2.0, 4.0]",32,5,True,0.001,0.001,none,0,False,"tensor([ 1.1847, 11.8326])","tensor([ 1.1922, 11.8523])","tensor([ 1.1866, 11.8923])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_28,100364571,50
51,0.98994,0.9728,0.97,39,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[0.5, 1.0]",32,5,True,0.003,0.003,none,0,False,"tensor([ 0.4064, 11.3834])","tensor([ 0.4057, 11.4026])","tensor([ 0.4163, 11.4368])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_51,100364571,50
19,0.9929,0.9796,0.9784,41,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[0.5, 1.0]",32,5,True,0.003,0.003,none,0,False,"tensor([ 3.3785, 10.6571])","tensor([ 3.3591, 10.8403])","tensor([ 3.4202, 10.8298])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_19,100364571,50
55,0.99334,0.9747,0.9733,49,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.5, 1.5]",32,5,True,0.003,0.003,none,0,False,"tensor([ 0.5098, 11.2898])","tensor([ 0.5060, 11.2946])","tensor([ 0.5203, 11.3430])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_55,100364571,50
1,0.99018,0.9769,0.9757,32,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[0.5, 1.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 2.7424, 10.5782])","tensor([ 2.7547, 10.7613])","tensor([ 2.7505, 10.7725])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_1,100364571,50
40,0.99652,0.979,0.9748,47,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.0, 2.0]",32,5,True,0.001,0.001,none,0,False,"tensor([ 1.9924, 11.4978])","tensor([ 1.9843, 11.5646])","tensor([ 2.0095, 11.6183])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_40,100364571,50
