id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
42,0.9909,0.9774,0.9757,43,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([22.6465,  5.0040])","tensor([22.4475,  5.0532])","tensor([22.3955,  5.0748])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_431267089_exp_id_42,431267089,50
49,0.96274,0.9615,0.9562,36,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([43.4651,  4.8180])","tensor([43.2727,  5.0206])","tensor([43.3760,  5.0111])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_613427981_exp_id_49,613427981,50
75,0.96226,0.9605,0.9563,21,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([42.1319,  4.8076])","tensor([41.8628,  4.9276])","tensor([41.8904,  4.9284])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_416302576_exp_id_75,416302576,50
21,0.96452,0.9595,0.9561,39,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([46.8554,  4.8182])","tensor([47.2352,  5.1381])","tensor([47.1636,  5.1085])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_210342476_exp_id_21,210342476,50
31,0.9618,0.9605,0.958,49,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([49.7905,  4.8249])","tensor([50.0806,  4.7569])","tensor([50.0473,  4.7469])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_712492346_exp_id_31,712492346,50
59,0.96178,0.9618,0.9573,39,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([44.1201,  4.8303])","tensor([44.3771,  4.8159])","tensor([44.3173,  4.7874])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_301420567_exp_id_59,301420567,50
13,0.96122,0.9605,0.9578,35,[100],"('positive', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([48.6837,  4.8073])","tensor([49.0094,  4.8849])","tensor([48.9633,  4.8705])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_702546693_exp_id_13,702546693,50
2,0.99126,0.9764,0.9733,47,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([23.0157,  5.0041])","tensor([22.7011,  5.0014])","tensor([22.6395,  4.9994])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_2,100364571,50
68,0.9884,0.9776,0.9754,45,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([26.8385,  5.0105])","tensor([26.7855,  4.9708])","tensor([26.6898,  4.9944])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_980342676_exp_id_68,980342676,50
24,0.99008,0.9776,0.9744,28,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([22.3208,  5.0066])","tensor([22.3214,  4.9691])","tensor([22.3829,  4.9693])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_712492346_exp_id_24,712492346,50
16,0.99282,0.9773,0.9762,40,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([21.9714,  5.0020])","tensor([21.9063,  4.9563])","tensor([21.9724,  4.9808])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_210342476_exp_id_16,210342476,50
52,0.9879,0.9772,0.9753,47,[100],"('normal', None)",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([27.8670,  5.0119])","tensor([27.7201,  4.9930])","tensor([27.7184,  5.0048])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_613427981_exp_id_52,613427981,50
