id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
47,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 512000.0, 512000.0, 1.0, -6)]}",100364571,50,0.95634,0.9492,0.9434,44,"tensor([0.0026, 0.0026])","tensor([0.3930, 0.0000, 0.0132])","tensor([0.0101, 0.0000, 0.0004])","tensor([0.0102, 0.0000, 0.0004])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_47
48,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 512000.0, 512000.0, 1.0, -7)]}",100364571,50,0.93162,0.9297,0.9216,48,"tensor([0.0041, 0.0040])","tensor([0.4206, 0.0000, 0.0126])","tensor([0.0109, 0.0000, 0.0004])","tensor([0.0110, 0.0000, 0.0004])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_48
49,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 512000.0, 512000.0, 1.0, -7)]}",100364571,50,0.9341,0.9332,0.9257,45,"tensor([0.0039, 0.0039])","tensor([0.4101, 0.0000, 0.0125])","tensor([0.0105, 0.0000, 0.0004])","tensor([0.0107, 0.0000, 0.0004])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_49
50,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 512000.0, 512000.0, 1.0, -7)]}",100364571,50,0.94144,0.9404,0.9359,42,"tensor([0.0035, 0.0035])","tensor([0.4001, 0.0000, 0.0124])","tensor([0.0103, 0.0000, 0.0004])","tensor([0.0105, 0.0000, 0.0004])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_50
51,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 512000.0, 512000.0, 1.0, -8)]}",100364571,50,0.90964,0.9151,0.9095,40,"tensor([0.0056, 0.0054])","tensor([0.4512, 0.0000, 0.0119])","tensor([0.0118, 0.0000, 0.0004])","tensor([0.0119, 0.0000, 0.0004])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_51
52,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 512000.0, 512000.0, 1.0, -8)]}",100364571,50,0.92106,0.9279,0.9228,40,"tensor([0.0048, 0.0047])","tensor([0.4440, 0.0000, 0.0120])","tensor([0.0116, 0.0000, 0.0004])","tensor([0.0117, 0.0000, 0.0004])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_52
53,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 512000.0, 512000.0, 1.0, -8)]}",100364571,50,0.92636,0.931,0.9225,40,"tensor([0.0044, 0.0044])","tensor([0.4067, 0.0000, 0.0118])","tensor([0.0107, 0.0000, 0.0004])","tensor([0.0109, 0.0000, 0.0004])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_53
54,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -6)]}",100364571,50,0.9384,0.9344,0.9285,49,"tensor([0.0036, 0.0035])","tensor([0.2407, 0.0000, 0.0217])","tensor([0.0064, 0.0000, 0.0006])","tensor([0.0066, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_54
55,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -6)]}",100364571,50,0.94296,0.9401,0.9369,45,"tensor([0.0033, 0.0033])","tensor([0.2405, 0.0000, 0.0219])","tensor([0.0065, 0.0000, 0.0006])","tensor([0.0067, 0.0000, 0.0007])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_55
56,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -6)]}",100364571,50,0.9468,0.9437,0.938,49,"tensor([0.0030, 0.0031])","tensor([0.2345, 0.0000, 0.0210])","tensor([0.0064, 0.0000, 0.0006])","tensor([0.0066, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_56
57,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -7)]}",100364571,50,0.912,0.9189,0.9137,40,"tensor([0.0050, 0.0051])","tensor([0.2568, 0.0000, 0.0207])","tensor([0.0071, 0.0000, 0.0006])","tensor([0.0073, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_57
58,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -7)]}",100364571,50,0.92522,0.9224,0.9179,49,"tensor([0.0043, 0.0044])","tensor([0.2721, 0.0000, 0.0204])","tensor([0.0074, 0.0000, 0.0006])","tensor([0.0076, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_58
59,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -7)]}",100364571,50,0.9292,0.9275,0.921,49,"tensor([0.0042, 0.0042])","tensor([0.2778, 0.0000, 0.0197])","tensor([0.0078, 0.0000, 0.0006])","tensor([0.0079, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_59
60,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -8)]}",100364571,50,0.89374,0.9081,0.8963,43,"tensor([0.0063, 0.0064])","tensor([0.2746, 0.0000, 0.0198])","tensor([0.0077, 0.0000, 0.0006])","tensor([0.0079, 0.0000, 0.0007])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_60
61,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -8)]}",100364571,50,0.90394,0.9128,0.9051,48,"tensor([0.0056, 0.0057])","tensor([0.2964, 0.0000, 0.0190])","tensor([0.0084, 0.0000, 0.0006])","tensor([0.0086, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_61
62,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -8)]}",100364571,50,0.90422,0.909,0.9088,49,"tensor([0.0057, 0.0057])","tensor([0.3161, 0.0000, 0.0173])","tensor([0.0089, 0.0000, 0.0005])","tensor([0.0092, 0.0000, 0.0005])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_62
63,"{'out_layer': (0.5, 512000.0, 512000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 1024000.0, 1024000.0, 1.0, -6)]}",100364571,50,0.93188,0.9364,0.9288,28,"tensor([0.0041, 0.0040])","tensor([0.3001, 0.0000, 0.0160])","tensor([0.0079, 0.0000, 0.0005])","tensor([0.0081, 0.0000, 0.0005])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_63
