id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
11,0.34870034330554195,0.39001766784452296,27,[256],"('random', (-1, 2))",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,2048,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([6.6417, 4.9791])","tensor([6.7143, 6.5743])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_11,100364571,50
44,0.4122118685630211,0.4540636042402827,43,[256],"('normal', None)",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([12.5785,  4.6871])","tensor([12.6006,  4.0602])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_44,100364571,50
27,0.616233447768514,0.5790636042402827,43,[256],"('random', (-1, 2))",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.7822,  5.8949])","tensor([39.4053,  6.7158])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_27,100364571,50
39,0.6072829818538499,0.568904593639576,39,[256],"('random', (-1, 2))",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.0452,  5.8484])","tensor([37.5505,  5.8231])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_39,100364571,50
2,0.44310936733692985,0.4178445229681979,34,[256],"('normal', None)",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.4932, 5.2609])","tensor([5.5648, 4.8543])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_2,100364571,50
12,0.44556154977930357,0.4209363957597173,43,[256],"('normal', None)",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,128,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.8815, 5.2857])","tensor([5.8856, 4.9613])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_12,100364571,50
1,0.44654242275625305,0.428886925795053,43,[256],"('random', (-1, 2))",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,128,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([5.3576, 5.2772])","tensor([6.3382, 5.0108])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_1,100364571,50
20,0.344776851397744,0.38913427561837455,27,[256],"('normal', None)",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([6.8400, 5.1631])","tensor([6.7818, 6.2695])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_20,100364571,50
30,0.5326140264835704,0.5371024734982333,43,[256],"('normal', None)",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,512,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.1327,  5.3031])","tensor([33.6051,  5.5714])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_30,100364571,50
16,0.4189553702795488,0.424469964664311,28,[256],"('normal', None)",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,512,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([8.6551, 5.4922])","tensor([10.2045,  5.3937])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_16,100364571,50
19,0.41454144188327613,0.4196113074204947,20,[256],"('random', (-1, 2))",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,512,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([7.0970, 5.3094])","tensor([8.2416, 5.6240])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_19,100364571,50
42,0.5069887199607651,0.5353356890459364,35,[256],"('normal', None)",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,512,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.4948,  5.4400])","tensor([35.6168,  5.1094])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_42,100364571,50
31,0.5172878862187347,0.5459363957597173,36,[256],"('random', (-1, 2))",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,512,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.9827,  5.6033])","tensor([34.6416,  5.9641])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_31,100364571,50
45,0.3873222167729279,0.4589222614840989,17,[256],"('random', (-1, 2))",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([14.2126,  4.3917])","tensor([13.9271,  4.8603])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_45,100364571,50
