id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs,weight_decay
175,0.5868072584600295,0.6170494699646644,19,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.0549,  5.5329])","tensor([30.4772,  5.9106])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_416302576_exp_id_175,416302576,50,False?
44,0.6094899460519863,0.651060070671378,15,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.8762,  5.4393])","tensor([29.8323,  6.0321])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_210342476_exp_id_44,210342476,50,False?
20,0.6526483570377636,0.6378091872791519,27,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.3308,  5.5436])","tensor([29.1982,  5.8530])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_702546693_exp_id_20,702546693,50,False?
56,0.6359735164296224,0.6351590106007067,34,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.4746,  5.5862])","tensor([30.3287,  6.0267])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_712492346_exp_id_56,712492346,50,False?
49,0.5508827856792545,0.6042402826855123,15,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.8001,  5.4645])","tensor([29.7625,  6.1360])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_210342476_exp_id_49,210342476,50,False?
4,0.603727317312408,0.6126325088339223,47,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.0451,  5.6361])","tensor([29.2514,  6.0844])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_100364571_exp_id_4,100364571,50,False?
129,0.4201814615007356,0.4390459363957597,37,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,0,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([16.6565,  5.7516])","tensor([17.5700,  6.0806])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_301420567_exp_id_129,301420567,50,False?
16,0.6152525747915645,0.6157243816254417,42,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,cosine,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.9691,  5.5803])","tensor([27.9882,  6.1678])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_100364571_exp_id_16,100364571,50,False?
59,0.6322952427660617,0.651060070671378,34,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.1999,  5.6269])","tensor([29.0743,  5.9359])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_712492346_exp_id_59,712492346,50,False?
61,0.6308239333006376,0.6453180212014135,39,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.8898,  5.5086])","tensor([30.2891,  6.0275])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_712492346_exp_id_61,712492346,50,False?
74,0.6408778813143697,0.6519434628975265,41,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.9899,  5.5731])","tensor([31.7609,  6.3370])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_642731685_exp_id_74,642731685,50,False?
45,0.3878126532614026,0.5163427561837456,36,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,none,0,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([13.3177,  5.4028])","tensor([12.3481,  6.2120])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_210342476_exp_id_45,210342476,50,False?
95,0.6379352623835214,0.6426678445229682,19,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.1563,  5.5270])","tensor([31.3038,  6.1238])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_431267089_exp_id_95,431267089,50,False?
134,0.6053212358999509,0.6289752650176679,26,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.7278,  5.5207])","tensor([31.2837,  5.7953])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_301420567_exp_id_134,301420567,50,False?
7,0.6487248651299656,0.6417844522968198,48,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.1094,  5.5513])","tensor([30.2908,  6.1403])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_100364571_exp_id_7,100364571,50,False?
93,0.4961991172143207,0.5159010600706714,31,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,0,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([21.1273,  5.7150])","tensor([22.6866,  6.1485])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_431267089_exp_id_93,431267089,50,False?
62,0.6603727317312408,0.6700530035335689,46,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.8091,  5.5954])","tensor([29.4466,  5.5613])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_712492346_exp_id_62,712492346,50,False?
10,0.6514222658165768,0.6612190812720848,37,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,none,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.6617,  5.5580])","tensor([30.0041,  6.2079])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_100364571_exp_id_10,100364571,50,False?
17,0.6552231486022561,0.6457597173144877,36,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.8680,  5.6410])","tensor([28.4861,  5.9936])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_100364571_exp_id_17,100364571,50,False?
179,0.5521088769004414,0.6285335689045937,11,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.6040,  5.5064])","tensor([28.1807,  6.2578])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_416302576_exp_id_179,416302576,50,False?
120,0.5755272192251103,0.5375441696113075,40,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,decay,0,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.9877,  5.7818])","tensor([21.4136,  6.1757])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_613427981_exp_id_120,613427981,50,False?
65,0.6332761157430112,0.6537102473498233,47,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.8608,  5.5487])","tensor([30.2444,  6.3509])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_712492346_exp_id_65,712492346,50,False?
132,0.4049779303580186,0.4222614840989399,27,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,0,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([13.0961,  5.7168])","tensor([13.7494,  5.9893])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_301420567_exp_id_132,301420567,50,False?
136,0.6261647866601275,0.6462014134275619,47,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,none,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.5279,  5.4858])","tensor([31.2043,  6.2404])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_301420567_exp_id_136,301420567,50,False?
67,0.5830063756743502,0.5764134275618374,28,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.5263,  5.4919])","tensor([27.6731,  6.1389])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_712492346_exp_id_67,712492346,50,False?
78,0.4568415890142226,0.5220848056537103,25,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,0,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([15.9277,  5.6803])","tensor([17.7963,  6.1013])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_642731685_exp_id_78,642731685,50,False?
76,0.5941638057871506,0.6267667844522968,21,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([25.6371,  5.4498])","tensor([26.0443,  5.9457])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_8_642731685_exp_id_76,642731685,50,False?
