id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer_0,hidden_layer_1,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
67,0.2397008337420304,0.3047703180212014,3,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.1606, 13.3270,  5.4048])","tensor([39.9028, 14.9799,  8.1269])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_67,100364571,50
81,0.1292300147130946,0.131625441696113,7,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.2, 0.5]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([47.6997,  1.6278,  2.6264])","tensor([50.9957,  2.0759,  4.0767])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_81,100364571,50
10,0.4901912702305051,0.4615724381625442,8,"[256, 256]",0.5,0.5,"[0.2, 0.5]","[0.5, 1.0]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([46.5702, 29.7043, 29.2903])","tensor([50.2527, 30.8068, 29.0394])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_10,100364571,50
7,0.4621137812653261,0.4514134275618374,6,"[256, 256]",0.5,0.5,"[0.2, 0.5]","[0.7, 0.7]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.4912, 32.1118, 29.3650])","tensor([45.4505, 33.2643, 30.2741])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_7,100364571,50
73,0.3295733202550269,0.340547703180212,4,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[1.5, 1.5]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.7883,  9.8152, 21.8415])","tensor([37.2082, 11.0216, 25.2823])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_73,100364571,50
24,0.491785188818048,0.4646643109540636,8,"[256, 256]",0.5,0.5,"[0.7, 0.7]","[0.7, 0.7]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.8409, 20.3271, 21.2735])","tensor([36.3078, 21.4196, 21.3066])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_24,100364571,50
92,0.200833742030407,0.2407243816254416,6,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[1.5, 1.5]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([48.7271,  3.7365, 11.3920])","tensor([52.4499,  4.7032, 16.1468])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_92,100364571,50
14,0.4771947032859244,0.4416961130742049,6,"[256, 256]",0.5,0.5,"[0.2, 0.5]","[1.5, 1.5]","[1.0, 1.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.0661, 23.1735, 29.5842])","tensor([43.9932, 23.9513, 30.1633])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_14,100364571,50
89,0.1677292790583619,0.2469081272084805,6,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.5, 1.0]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([50.0830,  2.8598,  5.4297])","tensor([53.2618,  3.6576,  7.5371])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_89,100364571,50
23,0.3484551250613045,0.4103356890459363,3,"[256, 256]",0.5,0.5,"[0.7, 0.7]","[0.2, 0.5]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.4857, 23.4245, 14.3446])","tensor([37.9387, 24.8646, 17.9599])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_23,100364571,50
