id,train_acc,val_acc,best_epoch,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
37,0.20794507111329083,0.22968197879858657,31,0.5,"[2000.0, 4000.0]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([26.9296,  0.2927])","tensor([25.8672,  0.3272])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_37,100364571,50
29,0.18894065718489456,0.21113074204946997,49,0.5,"[1000.0, 2000.0]","[64000, 128000]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([39.3890,  0.2653])","tensor([39.0168,  0.2707])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_29,100364571,50
39,0.18072584600294261,0.23056537102473498,33,0.5,"[2000.0, 4000.0]","[64000, 128000]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([39.8519,  0.2673])","tensor([39.6953,  0.4430])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_39,100364571,50
66,0.23357037763609612,0.2628091872791519,38,0.5,"[250.0, 500.0]","[16000.0, 32000.0]",-16,0,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([12.6551,  0.2428])","tensor([11.6964,  0.2188])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_66,100364571,50
69,0.12910740559097597,0.2137809187279152,31,0.5,"[250.0, 500.0]","[64000, 128000]",-16,-2,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([37.4200,  0.2257])","tensor([37.4710,  0.2817])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_69,100364571,50
95,0.29818538499264347,0.286660777385159,40,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",-16,-2,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([10.3128,  0.2568])","tensor([11.0719,  0.3066])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_95,100364571,50
67,0.21064247179990192,0.25530035335689044,47,0.5,"[250.0, 500.0]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([24.5366,  0.2319])","tensor([23.6682,  0.2385])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_67,100364571,50
48,0.21824423737126042,0.23454063604240283,40,0.5,"[16000.0, 32000.0]","[64000, 128000]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([25.9749,  0.2835])","tensor([26.1489,  0.2845])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_48,100364571,50
10,0.29818538499264347,0.25618374558303886,46,0.5,"[250.0, 500.0]","[250.0, 500.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([13.3430,  0.3357])","tensor([13.2919,  0.4642])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_10,100364571,50
11,0.24411476213830308,0.24249116607773852,41,0.5,"[250.0, 500.0]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([29.9171,  0.2766])","tensor([29.0577,  0.2682])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_11,100364571,50
