id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
36,0.8578960274644434,0.7181978798586572,39,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.5074, 20.9900])","tensor([36.9912, 21.6416])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_416302576_exp_id_36,416302576,50
19,0.640019617459539,0.5675795053003534,43,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([32.6198, 28.4574])","tensor([32.8369, 29.0986])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_642731685_exp_id_19,642731685,50
38,0.6770475723393821,0.5976148409893993,38,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.3671, 28.3308])","tensor([36.0989, 28.9401])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_416302576_exp_id_38,416302576,50
31,0.6514222658165768,0.5706713780918727,40,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.5743, 27.5904])","tensor([34.3161, 27.8598])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_301420567_exp_id_31,301420567,50
8,0.8656204021579206,0.7287985865724381,47,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.9775, 20.3996])","tensor([38.4036, 20.7158])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_210342476_exp_id_8,210342476,50
37,0.8592447278077489,0.693904593639576,45,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.4102, 20.9488])","tensor([35.9866, 21.1647])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_416302576_exp_id_37,416302576,50
29,0.8498038254046101,0.6806537102473498,49,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.0869, 21.1120])","tensor([35.8230, 21.3244])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_301420567_exp_id_29,301420567,50
3,0.6428396272682687,0.5671378091872792,45,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([32.7685, 27.6954])","tensor([33.2765, 28.5974])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_100364571_exp_id_3,100364571,50
23,0.6243256498283473,0.5715547703180212,47,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.0669, 25.4073])","tensor([36.4857, 26.3059])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_431267089_exp_id_23,431267089,50
17,0.8111819519372241,0.6943462897526502,29,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.8809, 23.4300])","tensor([34.0862, 23.5391])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_642731685_exp_id_17,642731685,50
15,0.6551005394801374,0.5945229681978799,48,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.6270, 27.3747])","tensor([34.1791, 27.5144])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_712492346_exp_id_15,712492346,50
14,0.6639283962726827,0.601148409893993,39,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.7804, 28.8403])","tensor([35.2416, 28.9419])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_712492346_exp_id_14,712492346,50
35,0.6085090730750368,0.5393109540636042,21,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.6374, 28.2323])","tensor([34.7569, 28.7606])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_980342676_exp_id_35,980342676,50
2,0.6506866110838646,0.571113074204947,43,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.0808, 28.2017])","tensor([34.5917, 29.1523])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_100364571_exp_id_2,100364571,50
33,0.8593673369298676,0.6934628975265018,49,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.8493, 21.0116])","tensor([35.9589, 21.4348])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_980342676_exp_id_33,980342676,50
20,0.8499264345267288,0.7265901060070671,45,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.0316, 20.6662])","tensor([38.0594, 21.1439])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_431267089_exp_id_20,431267089,50
34,0.6481118195193722,0.575530035335689,41,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.7386, 28.3273])","tensor([35.6808, 28.7130])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_980342676_exp_id_34,980342676,50
5,0.8547081902893575,0.6903710247349824,45,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.6540, 21.4299])","tensor([35.7678, 21.9973])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_702546693_exp_id_5,702546693,50
18,0.6303334968121628,0.5777385159010601,48,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.5051, 29.9358])","tensor([33.6735, 30.5199])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_642731685_exp_id_18,642731685,50
9,0.8460029426189308,0.7058303886925795,40,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.0131, 21.1032])","tensor([37.4699, 21.1107])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_210342476_exp_id_9,210342476,50
39,0.6817067189798921,0.5671378091872792,48,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.4662, 27.3026])","tensor([34.1412, 27.8401])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_416302576_exp_id_39,416302576,50
30,0.6652770966159882,0.5830388692579506,45,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.4366, 28.1160])","tensor([35.0792, 28.3487])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_301420567_exp_id_30,301420567,50
24,0.8499264345267288,0.7146643109540636,40,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.7748, 21.3355])","tensor([35.1297, 21.7007])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_613427981_exp_id_24,613427981,50
0,0.8608386463952918,0.717756183745583,43,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.0903, 20.3924])","tensor([36.5940, 20.8820])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_100364571_exp_id_0,100364571,50
7,0.6488474742520843,0.5848056537102474,41,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.1500, 28.3357])","tensor([34.4332, 29.1747])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_702546693_exp_id_7,702546693,50
22,0.6531387935262384,0.5856890459363958,49,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.9206, 29.1225])","tensor([37.3042, 29.6971])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_431267089_exp_id_22,431267089,50
1,0.8695438940657185,0.7195229681978799,48,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.2689, 20.7046])","tensor([35.5905, 20.9833])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_100364571_exp_id_1,100364571,50
11,0.6384256988719961,0.5923144876325088,24,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.4135, 28.9581])","tensor([36.9836, 29.9585])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_210342476_exp_id_11,210342476,50
