id,train_acc,val_acc,best_epoch,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
57,0.16392839627268269,0.2226148409893993,26,0.5,"[5, 10]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([34.9696,  0.2746])","tensor([33.9159,  0.2874])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_57,100364571,50
15,0.331902893575282,0.33613074204946997,44,0.5,"[250.0, 500.0]","[2000.0, 4000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([11.6874,  0.5474])","tensor([11.3759,  0.5929])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_15,100364571,50
22,0.27685139774399214,0.3215547703180212,41,0.5,"[1000.0, 2000.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([3.6468, 0.5754])","tensor([3.6291, 0.5578])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_22,100364571,50
32,0.30419323197645903,0.3321554770318021,45,0.5,"[2000.0, 4000.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([3.4395, 0.5714])","tensor([3.2583, 0.6968])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_32,100364571,50
66,0.22915644923982345,0.232773851590106,40,0.5,"[250.0, 500.0]","[16000.0, 32000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([12.1258,  0.2904])","tensor([11.1367,  0.3114])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_66,100364571,50
10,0.2851888180480628,0.3052120141342756,32,0.5,"[250.0, 500.0]","[250.0, 500.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.0607, 0.6422])","tensor([3.8071, 0.7624])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_10,100364571,50
17,0.23528690534575772,0.30786219081272087,48,0.5,"[250.0, 500.0]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.7835,  0.5104])","tensor([29.5411,  0.5761])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_17,100364571,50
1,0.25306522805296716,0.2583922261484099,31,0.5,"[5, 10]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([15.9168,  0.5895])","tensor([14.6037,  0.8628])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_1,100364571,50
45,0.32663070132417854,0.31581272084805656,48,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([6.0658, 0.5240])","tensor([5.9897, 0.4603])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_45,100364571,50
6,0.19494850416871015,0.2226148409893993,40,0.5,"[5, 10]","[16000.0, 32000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([16.4113,  0.5310])","tensor([16.2001,  0.3042])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_6,100364571,50
