id,train_acc,val_acc,best_epoch,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
86,0.7524521824423737,0.6135159010600707,47,0.5,0.5,"[0.7, 0.7]","[0.5, 1.0]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.1922, 27.4291])","tensor([40.7191, 28.0126])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_86,100364571,50
3,0.7621383030897498,0.6148409893992933,44,0.5,0.5,"[0.3, 0.6]","[0.3, 0.6]",0.001,0.1,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([44.6158, 25.2300])","tensor([44.7553, 26.1405])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_3,100364571,50
10,0.8238106915154487,0.6674028268551236,49,0.5,0.5,"[0.3, 0.6]","[0.5, 1.0]",0.001,0.01,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.6860, 20.6411])","tensor([41.8605, 20.9069])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_10,100364571,50
41,0.7959784207945071,0.644434628975265,48,0.5,0.5,"[0.5, 1.0]","[0.3, 0.6]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.3662, 24.3770])","tensor([40.7119, 24.7341])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_41,100364571,50
98,0.6565718489455615,0.5441696113074205,47,0.5,0.5,"[0.7, 0.7]","[0.7, 0.7]",0.001,0.003,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.1651, 31.9520])","tensor([40.7083, 32.7671])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_98,100364571,50
134,0.676679744973026,0.5962897526501767,47,0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.003,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.7662, 29.7536])","tensor([38.4435, 30.4715])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_134,100364571,50
97,0.6603727317312408,0.5463780918727915,49,0.5,0.5,"[0.7, 0.7]","[0.7, 0.7]",0.001,0.01,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.8563, 30.8323])","tensor([41.4395, 32.2549])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_97,100364571,50
13,0.7593182932810201,0.6024734982332155,48,0.5,0.5,"[0.3, 0.6]","[0.5, 1.0]",0.001,0.01,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.6756, 26.9352])","tensor([43.0741, 27.5835])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_13,100364571,50
138,0.7187346738597352,0.6360424028268551,47,0.5,0.5,"[1.5, 1.5]","[1.5, 1.5]",0.001,0.1,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.0725, 26.7300])","tensor([40.4670, 27.3330])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_138,100364571,50
133,0.6867336929867582,0.6037985865724381,48,0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.01,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.7384, 29.0539])","tensor([38.3270, 30.0342])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_lr/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_lr_133,100364571,50
