id,train_acc,val_acc,best_epoch,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
120,0.1278813143697891,0.15945229681978798,2,0.5,0.5,"[1.5, 1.5]","[1.5, 1.5]",0.001,0.001,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.9732,  1.4840])","tensor([33.8982,  2.7570])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_120,100364571,50
25,0.04683668464933791,0.05742049469964664,0,0.5,0.5,"[0.3, 0.6]","[1.5, 1.5]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.5821,  0.1237])","tensor([28.7398,  0.2779])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_25,100364571,50
51,0.12702305051495832,0.18065371024734983,1,0.5,0.5,"[0.5, 1.0]","[0.7, 0.7]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([54.1809,  1.1241])","tensor([47.1752,  1.6201])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_51,100364571,50
134,0.5358018636586562,0.4589222614840989,6,0.5,0.15,"[2.0, 4.0]","[0.3, 0.6]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([22.8057, 25.5856])","tensor([21.5664, 25.7695])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_134,100364571,50
65,0.13940657184894556,0.13604240282685512,3,0.5,0.5,"[0.7, 0.7]","[0.3, 0.6]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([66.7377,  1.9481])","tensor([57.8013,  2.1762])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_65,100364571,50
92,0.1562040215792055,0.18507067137809188,2,0.5,0.15,"[0.7, 0.7]","[1.5, 1.5]",0.001,0.001,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.6344,  1.1691])","tensor([29.4434,  1.4891])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_92,100364571,50
37,0.21174595389897008,0.21289752650176677,2,0.5,0.15,"[0.5, 1.0]","[0.3, 0.6]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.5195, 24.1255])","tensor([31.1430, 26.3365])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_37,100364571,50
55,0.09771947032859245,0.1333922261484099,0,0.5,0.15,"[0.5, 1.0]","[0.7, 0.7]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([32.5823,  1.8374])","tensor([30.4868,  2.6089])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_55,100364571,50
101,0.22045120156939677,0.24734982332155478,2,0.5,0.15,"[1.5, 1.5]","[0.3, 0.6]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.7761, 25.3351])","tensor([27.5410, 27.0331])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_101,100364571,50
64,0.26250613045610593,0.23851590106007067,3,0.5,0.5,"[0.7, 0.7]","[0.3, 0.6]",0.001,0.001,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.0062, 29.6752])","tensor([30.3499, 32.2605])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_64,100364571,50
