loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,id_count
"('normal', None)",128,16,16,12,24,1.0,"[24000.0, 48000.0]","[19200.0, 19200.0]",0.000244140625,0.125,none,128,True,0.6657920549288867,0.0184540917227926,0.6206272084805653,0.011647999119860761,10
"('normal', None)",128,16,16,12,24,1.0,"[24000.0, 48000.0]","[19200.0, 19200.0]",0.000244140625,0.125,none,128,False,0.6700343305541933,0.011757952713682782,0.6198763250883392,0.006353877012608345,10
"('random', (-1, 2))",128,16,16,12,24,1.0,"[24000.0, 48000.0]","[19200.0, 19200.0]",0.000244140625,0.125,none,128,True,0.6720083374203041,0.010554272552842156,0.6168727915194346,0.008941725417855125,10
"('normal', None)",128,16,16,12,24,1.0,"[32000.0, 64000.0]","[25600.0, 25600.0]",0.000244140625,0.125,none,128,False,0.6526360961255517,0.010338897043183465,0.6162544169611308,0.01301118098473789,10
"('random', (-1, 2))",128,16,16,12,24,1.0,"[32000.0, 64000.0]","[25600.0, 25600.0]",0.000244140625,0.125,none,128,True,0.6492153016184404,0.012747811408111855,0.6154593639575971,0.012376602174321003,10
"('random', (-1, 2))",128,16,16,12,24,1.0,"[24000.0, 48000.0]","[19200.0, 19200.0]",0.000244140625,0.125,none,128,False,0.6741049534085336,0.013389055860126684,0.6152826855123675,0.009719545020081847,10
"('normal', None)",128,16,16,12,24,1.0,"[32000.0, 64000.0]","[25600.0, 25600.0]",0.000244140625,0.125,none,128,True,0.6522192251103482,0.011738822999435693,0.611660777385159,0.015364141083045011,10
"('random', (-1, 2))",128,16,16,12,24,1.0,"[32000.0, 64000.0]","[25600.0, 25600.0]",0.000244140625,0.125,none,128,False,0.6499877390877881,0.010371899166751913,0.6107773851590106,0.01617248602339423,10
