loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,id_count
"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.125,none,2048,False,0.37714565963707697,0.008572512456736623,0.44372791519434623,0.018209454619393235,10
"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,0.125,none,2048,False,0.3681584109857773,0.01344508399161427,0.44094522968197875,0.015182828721550757,10
"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.03125,none,2048,False,0.3373344776851398,0.008868076704268252,0.39580388692579505,0.015283011745577888,10
"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,0.03125,none,2048,False,0.33835213339872483,0.01581348218074338,0.39394876325088335,0.01240503094520113,10
