loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,id_count
"('normal', None)",128,16,16,4,16,1.0,"[125.0, 250.0]","[100.0, 100.0]",0.03125,2,none,256,False,0.5255885237861697,0.022350017157114228,0.5808303886925795,0.02252794517189067,10
"('normal', None)",128,16,16,4,16,1.0,"[125.0, 250.0]","[100.0, 100.0]",0.00390625,2,none,256,False,0.5411108386463953,0.013264729293321094,0.5761925795053003,0.009560450893071282,10
"('normal', None)",128,16,16,4,16,1.0,"[125.0, 250.0]","[100.0, 100.0]",0.03125,8,none,256,False,0.5257969592937715,0.014789210592996772,0.5742932862190813,0.019145600387941365,10
"('normal', None)",128,16,16,4,16,1.0,"[125.0, 250.0]","[100.0, 100.0]",0.00390625,8,none,256,False,0.537873957822462,0.011783587879892202,0.5732332155477031,0.014956630157015217,10
