id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
44,0.98856,0.9832,0.982,46,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,3.0517578125e-05,1.0,none,2048,False,"tensor([ 3.3815, 10.4963])","tensor([ 3.3638, 10.5291])","tensor([ 3.3734, 10.5230])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_712492346_exp_id_44,712492346,50
29,0.97896,0.9797,0.9769,33,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,0.000244140625,0.0625,none,2048,False,"tensor([ 9.0940, 10.9663])","tensor([ 9.0184, 10.9316])","tensor([ 9.0868, 10.9411])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_210342476_exp_id_29,210342476,50
2,0.98638,0.9815,0.9798,29,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,0.000244140625,1.0,none,2048,False,"tensor([ 3.5501, 10.4905])","tensor([ 3.5649, 10.3986])","tensor([ 3.5742, 10.4045])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_2,100364571,50
31,0.98664,0.9827,0.9815,33,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,3.0517578125e-05,1.0,none,512,False,"tensor([ 3.2009, 10.5144])","tensor([ 3.1978, 10.5408])","tensor([ 3.2027, 10.5678])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_210342476_exp_id_31,210342476,50
73,0.9819,0.9797,0.9777,44,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,0.000244140625,1.0,none,512,False,"tensor([ 2.2048, 10.6551])","tensor([ 2.1963, 10.5128])","tensor([ 2.2111, 10.5540])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_613427981_exp_id_73,613427981,50
35,0.98324,0.9815,0.981,43,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,3.0517578125e-05,0.0625,none,2048,False,"tensor([ 9.5118, 10.8196])","tensor([ 9.4873, 10.8482])","tensor([ 9.5478, 10.8650])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_210342476_exp_id_35,210342476,50
95,0.98156,0.9808,0.9798,39,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,3.0517578125e-05,0.0625,none,2048,False,"tensor([ 8.4846, 10.8335])","tensor([ 8.4626, 10.7819])","tensor([ 8.5028, 10.7880])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_301420567_exp_id_95,301420567,50
65,0.98196,0.9795,0.9786,12,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,0.000244140625,0.0625,none,2048,False,"tensor([ 8.6291, 10.6756])","tensor([ 8.6638, 10.6964])","tensor([ 8.6823, 10.7242])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_431267089_exp_id_65,431267089,50
93,0.98156,0.9808,0.9798,39,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,3.0517578125e-05,0.0625,none,0,False,"tensor([ 8.4846, 10.8335])","tensor([ 8.4626, 10.7819])","tensor([ 8.5028, 10.7880])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_301420567_exp_id_93,301420567,50
51,0.9821,0.9802,0.9785,49,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,0.000244140625,0.0625,none,0,False,"tensor([ 9.2258, 10.8157])","tensor([ 9.2031, 10.8286])","tensor([ 9.2706, 10.8616])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_642731685_exp_id_51,642731685,50
28,0.98286,0.9803,0.9792,26,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,0.000244140625,0.0625,none,512,False,"tensor([ 8.6638, 10.7523])","tensor([ 8.6186, 10.7453])","tensor([ 8.6564, 10.7181])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_210342476_exp_id_28,210342476,50
70,0.984,0.9818,0.9795,31,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",32,5,True,3.0517578125e-05,0.0625,none,512,False,"tensor([ 9.1199, 10.7729])","tensor([ 9.1264, 10.7482])","tensor([ 9.1866, 10.7499])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_431267089_exp_id_70,431267089,50
