id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
12,0.98174,0.9692,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[4.0, 6.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([37.9240, 11.8068])","tensor([37.9435, 11.8752])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_12,100364571,50
49,0.9698,0.963,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[1.0, 1.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([20.9964, 19.6681])","tensor([20.9990, 19.5738])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_49,100364571,50
41,0.9814,0.9661,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[2.0, 4.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([24.9217, 16.9103])","tensor([24.8673, 16.7818])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_41,100364571,50
61,0.9794,0.9672,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[4.0, 6.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([29.3764, 15.4413])","tensor([29.2438, 15.3881])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_61,100364571,50
55,0.97068,0.9643,35,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[1.0, 2.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([20.2332, 22.2534])","tensor([20.1379, 22.1560])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_55,100364571,50
3,0.97846,0.965,40,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 1.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([19.4811, 17.8665])","tensor([19.4363, 17.5795])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_3,100364571,50
11,0.98464,0.9691,40,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[2.0, 4.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([24.6833, 17.5218])","tensor([24.7132, 17.4644])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_11,100364571,50
7,0.97792,0.9652,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 2.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([19.6292, 23.5293])","tensor([19.6447, 23.5743])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_7,100364571,50
13,0.98192,0.968,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[4.0, 6.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([27.8890, 15.9467])","tensor([27.8061, 15.8398])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_13,100364571,50
34,0.98128,0.9682,42,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 1.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([28.3705, 18.7064])","tensor([28.2876, 18.3896])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_34,100364571,50
