id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
12,"{'out_layer': (0.5, 64000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.70956,0.817,0.7906,41,"tensor([nan, nan])","tensor([94.0497,  0.0000,  1.1778])","tensor([4.7296, 0.0000, 0.0688])","tensor([4.7460, 0.0000, 0.0655])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_12
13,"{'out_layer': (0.5, 96000.0, 96000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.68154,0.7904,0.7497,41,"tensor([nan, nan])","tensor([92.6902,  0.0000,  1.0965])","tensor([4.6891, 0.0000, 0.0577])","tensor([4.7082, 0.0000, 0.0527])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_13
14,"{'out_layer': (0.5, 128000.0, 128000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.65752,0.7705,0.7355,41,"tensor([nan, nan])","tensor([91.5508,  0.0000,  1.0575])","tensor([4.6613, 0.0000, 0.0767])","tensor([4.6807, 0.0000, 0.0924])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_14
15,"{'out_layer': (0.5, 64000.0, 128000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.72386,0.8209,0.7978,48,"tensor([nan, nan])","tensor([94.5621,  0.0000,  1.1781])","tensor([4.7496, 0.0000, 0.0953])","tensor([4.7644, 0.0000, 0.0949])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_15
16,"{'out_layer': (0.5, 96000.0, 192000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.68476,0.7851,0.7463,41,"tensor([nan, nan])","tensor([92.6956,  0.0000,  1.0962])","tensor([4.6891, 0.0000, 0.0592])","tensor([4.7077, 0.0000, 0.0553])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_16
17,"{'out_layer': (0.5, 128000.0, 256000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.67742,0.784,0.7508,49,"tensor([nan, nan])","tensor([92.3271,  0.0000,  1.0407])","tensor([4.6746, 0.0000, 0.0576])","tensor([4.6984, 0.0000, 0.0604])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_17
18,"{'out_layer': (0.5, 16000.0, 16000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 32000.0, 1.0, -18)]}",100364571,50,0.63396,0.7556,0.7205,41,"tensor([nan, nan])","tensor([95.8401,  0.0000,  1.7772])","tensor([4.7925, 0.0000, 0.1043])","tensor([4.8089, 0.0000, 0.0999])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_18
19,"{'out_layer': (0.5, 24000.0, 24000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 48000.0, 1.0, -18)]}",100364571,50,0.66136,0.7485,0.7231,6,"tensor([nan, nan])","tensor([46.9903,  0.0000,  1.2689])","tensor([2.8151, 0.0000, 0.0826])","tensor([2.8865, 0.0000, 0.0781])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_19
20,"{'out_layer': (0.5, 32000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 64000.0, 1.0, -18)]}",100364571,50,0.6726,0.7708,0.751,7,"tensor([nan, nan])","tensor([41.6543,  0.0000,  1.2022])","tensor([2.4999, 0.0000, 0.0748])","tensor([2.5759, 0.0000, 0.0788])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_20
21,"{'out_layer': (0.5, 16000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 32000.0, 1.0, -18)]}",100364571,50,0.69562,0.7905,0.7767,48,"tensor([nan, nan])","tensor([94.3781,  0.0000,  1.7727])","tensor([4.7155, 0.0000, 0.0951])","tensor([4.7364, 0.0000, 0.0993])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_21
22,"{'out_layer': (0.5, 24000.0, 48000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 48000.0, 1.0, -18)]}",100364571,50,0.64974,0.7495,0.7176,48,"tensor([nan, nan])","tensor([94.4026,  0.0000,  1.5804])","tensor([4.7253, 0.0000, 0.0872])","tensor([4.7445, 0.0000, 0.0814])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_22
23,"{'out_layer': (0.5, 32000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 64000.0, 1.0, -18)]}",100364571,50,0.66328,0.7681,0.7398,12,"tensor([nan, nan])","tensor([62.6059,  0.0000,  1.2336])","tensor([3.5081, 0.0000, 0.0746])","tensor([3.5639, 0.0000, 0.0643])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_23
24,"{'out_layer': (0.5, 32000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 32000.0, 1.0, -18)]}",100364571,50,0.66238,0.8004,0.7763,35,"tensor([nan, nan])","tensor([94.1880,  0.0000,  1.4574])","tensor([4.7085, 0.0000, 0.0993])","tensor([4.7341, 0.0000, 0.0959])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_24
25,"{'out_layer': (0.5, 48000.0, 48000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 48000.0, 1.0, -18)]}",100364571,50,0.65794,0.7612,0.7385,6,"tensor([nan, nan])","tensor([47.1446,  0.0000,  1.1107])","tensor([2.7837, 0.0000, 0.0666])","tensor([2.8560, 0.0000, 0.0658])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_25
26,"{'out_layer': (0.5, 64000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 64000.0, 1.0, -18)]}",100364571,50,0.66376,0.751,0.7231,13,"tensor([nan, nan])","tensor([65.6808,  0.0000,  1.0653])","tensor([3.6398, 0.0000, 0.0748])","tensor([3.6796, 0.0000, 0.0664])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_26
27,"{'out_layer': (0.5, 32000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 32000.0, 1.0, -18)]}",100364571,50,0.66034,0.7769,0.7426,35,"tensor([nan, nan])","tensor([94.2226,  0.0000,  1.4495])","tensor([4.7092, 0.0000, 0.0947])","tensor([4.7354, 0.0000, 0.0901])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_27
28,"{'out_layer': (0.5, 48000.0, 96000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 48000.0, 1.0, -18)]}",100364571,50,0.6569,0.7607,0.7378,6,"tensor([nan, nan])","tensor([47.1346,  0.0000,  1.1092])","tensor([2.7832, 0.0000, 0.0658])","tensor([2.8558, 0.0000, 0.0668])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_28
29,"{'out_layer': (0.5, 64000.0, 128000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 64000.0, 1.0, -18)]}",100364571,50,0.66652,0.7164,0.6976,8,"tensor([nan, nan])","tensor([46.3926,  0.0000,  1.0780])","tensor([2.7069, 0.0000, 0.0575])","tensor([2.7821, 0.0000, 0.0558])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_29
30,"{'out_layer': (0.5, 64000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 32000.0, 1.0, -18)]}",100364571,50,0.67732,0.7734,0.7343,41,"tensor([nan, nan])","tensor([94.2259,  0.0000,  1.2148])","tensor([4.7102, 0.0000, 0.0774])","tensor([4.7326, 0.0000, 0.0738])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_30
