id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
4,0.98034,0.9814,0.9769,24,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 2.8183, 10.5640])","tensor([ 2.7767, 10.6252])","tensor([ 2.7878, 10.6205])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_642731685_exp_id_4,642731685,50
1,0.97732,0.9788,0.9756,45,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 2.4110, 10.6578])","tensor([ 2.4198, 10.3585])","tensor([ 2.4268, 10.3695])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_702546693_exp_id_1,702546693,50
8,0.98154,0.9805,0.9759,46,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 2.7054, 10.6108])","tensor([ 2.7342, 10.5914])","tensor([ 2.7325, 10.6099])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_980342676_exp_id_8,980342676,50
5,0.98334,0.9808,0.9789,35,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 3.8583, 10.5207])","tensor([ 3.9252, 10.4370])","tensor([ 3.9399, 10.4443])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_431267089_exp_id_5,431267089,50
9,0.9789,0.9787,0.9766,39,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 2.2806, 10.6527])","tensor([ 2.3190, 10.5858])","tensor([ 2.3217, 10.6289])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_416302576_exp_id_9,416302576,50
7,0.98044,0.9803,0.9783,45,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 2.8210, 10.6031])","tensor([ 2.8254, 10.5242])","tensor([ 2.8306, 10.5496])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_301420567_exp_id_7,301420567,50
6,0.98404,0.981,0.9781,48,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 3.3402, 10.5351])","tensor([ 3.3277, 10.5176])","tensor([ 3.3460, 10.5177])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_613427981_exp_id_6,613427981,50
0,0.98434,0.9823,0.9814,47,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 4.1322, 10.5035])","tensor([ 4.0675, 10.5318])","tensor([ 4.0798, 10.6262])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_100364571_exp_id_0,100364571,50
3,0.97546,0.9773,0.9745,48,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 2.7240, 10.6808])","tensor([ 2.7670, 10.4888])","tensor([ 2.7815, 10.5083])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_712492346_exp_id_3,712492346,50
2,0.98116,0.9797,0.9776,42,"('normal', None)",32,16,16,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,0.00390625,2,none,128,True,"tensor([ 2.6215, 10.6032])","tensor([ 2.5646, 10.6228])","tensor([ 2.5692, 10.6589])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_4_transposed_loss_direct_210342476_exp_id_2,210342476,50
