id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
17,0.93442,0.9453,0.9398,24,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([58.7738,  5.1207])","tensor([59.1223,  5.2945])","tensor([58.8260,  5.3126])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_642731685_exp_id_17,642731685,50
18,0.70488,0.7993,0.7941,26,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([41.4651,  6.6285])","tensor([40.2043,  6.4451])","tensor([40.7632,  6.6552])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_642731685_exp_id_18,642731685,50
25,0.93032,0.946,0.9395,36,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([56.9503,  5.1776])","tensor([56.9589,  5.5437])","tensor([56.8753,  5.5533])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_613427981_exp_id_25,613427981,50
15,0.73358,0.7928,0.7672,1,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([35.9216,  5.9632])","tensor([36.9737,  6.4897])","tensor([37.3528,  6.7127])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_712492346_exp_id_15,712492346,50
28,0.93374,0.9436,0.9422,12,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([58.6771,  5.1703])","tensor([58.4198,  5.5041])","tensor([58.2321,  5.5189])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_301420567_exp_id_28,301420567,50
14,0.7089,0.7954,0.7808,41,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([43.4417,  6.0646])","tensor([39.2976,  3.8440])","tensor([39.7723,  3.9795])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_712492346_exp_id_14,712492346,50
31,0.69708,0.8092,0.7946,49,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([51.9757,  6.3323])","tensor([49.5909,  3.9817])","tensor([49.9032,  4.0957])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_301420567_exp_id_31,301420567,50
26,0.69636,0.7949,0.783,0,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([44.9448,  5.7443])","tensor([39.2416,  7.1702])","tensor([39.7614,  7.5461])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_613427981_exp_id_26,613427981,50
3,0.69374,0.805,0.8003,9,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([42.2904,  6.4067])","tensor([43.0777,  6.6297])","tensor([43.6562,  6.8500])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_3,100364571,50
23,0.70312,0.7991,0.78,33,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([51.4726,  6.5071])","tensor([50.9648,  5.5558])","tensor([51.4812,  5.7698])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_431267089_exp_id_23,431267089,50
38,0.68536,0.8334,0.8284,0,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([47.9265,  5.6474])","tensor([47.6783, 10.6614])","tensor([48.4734, 11.3122])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_416302576_exp_id_38,416302576,50
7,0.71086,0.8078,0.7969,0,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([45.0825,  5.8225])","tensor([40.8777,  7.4239])","tensor([41.4417,  7.8116])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_702546693_exp_id_7,702546693,50
2,0.70092,0.8151,0.7917,47,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([41.6006,  6.2915])","tensor([42.5145,  5.4811])","tensor([42.9844,  5.6819])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_2,100364571,50
19,0.70782,0.8273,0.8158,0,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([48.2325,  5.9521])","tensor([40.1779,  3.4328])","tensor([40.6821,  3.5757])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_642731685_exp_id_19,642731685,50
12,0.93466,0.9443,0.9419,37,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([61.4309,  5.1539])","tensor([61.6074,  5.0093])","tensor([61.4915,  5.0169])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_712492346_exp_id_12,712492346,50
5,0.93326,0.9438,0.9367,30,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([56.8935,  5.1443])","tensor([56.3358,  4.9670])","tensor([56.2146,  4.9873])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_702546693_exp_id_5,702546693,50
36,0.9293,0.9439,0.9386,24,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([59.1192,  5.1656])","tensor([59.6109,  5.3140])","tensor([59.4916,  5.2897])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_416302576_exp_id_36,416302576,50
6,0.70592,0.819,0.8029,35,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([40.0827,  6.2664])","tensor([41.8820,  5.0879])","tensor([42.5160,  5.3048])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_702546693_exp_id_6,702546693,50
4,0.93082,0.9485,0.9426,21,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([59.3288,  5.1612])","tensor([58.7781,  5.0267])","tensor([58.7317,  5.0387])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_702546693_exp_id_4,702546693,50
33,0.93326,0.9443,0.9379,44,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([58.4560,  5.1400])","tensor([58.4220,  5.6114])","tensor([58.3438,  5.6282])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_980342676_exp_id_33,980342676,50
24,0.9322,0.9432,0.9409,37,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([60.3100,  5.1827])","tensor([60.2536,  5.5454])","tensor([60.1745,  5.5199])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_613427981_exp_id_24,613427981,50
9,0.93106,0.9455,0.9421,36,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([57.2169,  5.1582])","tensor([57.3683,  5.1693])","tensor([57.2901,  5.1624])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_210342476_exp_id_9,210342476,50
21,0.9345,0.9425,0.9381,46,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([58.7230,  5.1815])","tensor([58.6442,  5.1610])","tensor([58.4456,  5.1884])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_431267089_exp_id_21,431267089,50
32,0.92956,0.9458,0.9441,49,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,"tensor([59.3349,  5.1656])","tensor([59.7044,  5.8619])","tensor([59.5339,  5.8911])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_980342676_exp_id_32,980342676,50
22,0.68366,0.8055,0.7983,32,[100],"('normal', None)",128,8,8,4,16,0.5,"[62.0, 125.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,True,"tensor([44.3857,  6.5210])","tensor([42.4620,  6.5020])","tensor([42.9436,  6.7129])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_431267089_exp_id_22,431267089,50
