id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
80,0.65056,0.7738,0,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.0517578125e-05,0.5,none,512,"tensor([13.9048,  3.8912])","tensor([15.9522,  4.8676])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_80,100364571,50
67,0.11244,0.2205,6,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",0.000244140625,0.125,none,0,"tensor([2.9975, 0.7572])","tensor([5.8476, 3.7055])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_67,100364571,50
52,0.928,0.9376,45,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.125,none,2048,"tensor([10.4437,  5.1252])","tensor([10.3201,  5.1839])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_52,100364571,50
78,0.36332,0.3065,1,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.0517578125e-05,0.5,none,0,"tensor([7.2992, 1.9710])","tensor([6.9376, 0.6448])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_78,100364571,50
0,0.0987,0.0991,0,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,4.0,none,0,"tensor([0., 0.])","tensor([0., 0.])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_0,100364571,50
99,0.79924,0.8332,22,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.814697265625e-06,0.5,none,512,"tensor([16.2523,  4.7745])","tensor([16.5232,  4.7715])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_99,100364571,50
5,0.94726,0.942,37,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,4.0,none,2048,"tensor([3.3586, 5.1942])","tensor([3.3306, 4.9784])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_5,100364571,50
76,0.69124,0.7121,1,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.0517578125e-05,4.0,none,2048,"tensor([14.1806,  4.6840])","tensor([14.0744,  3.9469])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_76,100364571,50
83,0.66338,0.7278,26,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.0517578125e-05,0.5,none,2048,"tensor([13.4637,  4.3999])","tensor([13.4615,  5.0915])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_83,100364571,50
79,0.45058,0.524,49,[100],"('random', (-1, 2))",128,16,16,11,15,0.5,"[6000.0, 12000.0]","[24000.0, 48000.0]",3.0517578125e-05,0.5,none,0,"tensor([6.5783, 3.6641])","tensor([6.6642, 2.2070])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_11_transposed_loss_direct_100364571_exp_id_79,100364571,50
