id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
92,0.55426,0.6645,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.814697265625e-06,0.03125,none,512,"tensor([20.7080,  3.5534])","tensor([18.5233,  3.7730])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_92,100364571,50
93,0.55378,0.6621,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.814697265625e-06,0.03125,none,512,"tensor([20.6580,  3.5502])","tensor([18.5426,  3.7674])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_93,100364571,50
88,0.52832,0.5439,1,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.125,none,2048,"tensor([16.5944,  3.6522])","tensor([16.5442,  3.4171])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_88,100364571,50
78,0.11994,0.1517,20,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.5,none,0,"tensor([0.0471, 0.4478])","tensor([0.0457, 0.2888])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_78,100364571,50
89,0.55128,0.5655,1,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.125,none,2048,"tensor([16.1201,  3.5803])","tensor([15.8143,  3.2208])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_89,100364571,50
11,0.87892,0.9473,49,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.5,none,2048,"tensor([5.8537, 5.3547])","tensor([5.7643, 5.7846])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_11,100364571,50
87,0.60484,0.6156,2,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.125,none,512,"tensor([17.0031,  3.6212])","tensor([16.7952,  3.3331])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_87,100364571,50
62,0.5814,0.6097,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.5,none,512,"tensor([22.5206,  3.6339])","tensor([17.8098,  3.6804])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_62,100364571,50
1,0.91708,0.948,20,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.03125,none,0,"tensor([11.1378,  5.0076])","tensor([11.0074,  4.6730])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_1,100364571,50
7,0.83356,0.9141,40,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.5,none,0,"tensor([2.1925, 4.6241])","tensor([2.2576, 5.1377])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_7,100364571,50
