loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,id_count
"('normal', None)",128,16,16,4,16,0.5,"[31.0, 62.0]","[125.0, 250.0]",0.000244140625,0.5,none,0,False,0.947452,0.0026563667752109114,0.9583999999999999,0.0014110673659011213,0.9547700000000001,0.0015713051899615088,10
"('random', (-1, 2))",128,16,16,4,16,0.5,"[31.0, 62.0]","[125.0, 250.0]",0.000244140625,0.5,none,0,False,0.9470280000000001,0.0015510054086874914,0.95828,0.0012603350524540635,0.95427,0.0010667187487285342,10
"('normal', None)",128,16,16,4,16,0.5,"[31.0, 62.0]","[125.0, 250.0]",0.000244140625,0.5,none,0,True,0.904452,0.0030288274225441733,0.9466300000000001,0.0016255255560382168,0.94145,0.00203865424020631,10
"('random', (-1, 2))",128,16,16,4,16,0.5,"[31.0, 62.0]","[125.0, 250.0]",0.000244140625,0.5,none,0,True,0.90321,0.0027571039556430034,0.9458500000000001,0.0017727881367433323,0.9402200000000001,0.002332761834773918,10
