loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,id_count
"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,False,0.9769,0.0005440588203493832,0.97082,0.0007208020224413475,0.96899,0.0014192721139137847,10
"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.0625,none,2,False,0.9767760000000001,0.0008655274563974132,0.97082,0.0009354737361952541,0.9689,0.001111555466702213,10
"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.0625,none,2,False,0.97528,0.0014287212619837812,0.97015,0.0006720615051218539,0.9671099999999999,0.00163329931937375,10
"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,False,0.9745860000000001,0.0009721476796820209,0.97014,0.0008630694577430568,0.9664699999999999,0.0019304864096330388,10
"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.0625,none,2,False,0.972804,0.0011455343246227572,0.9684899999999999,0.0008962266578395524,0.96487,0.0011421714212654557,10
"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2,False,0.972262,0.0018407353603021182,0.96837,0.0008564137110325066,0.9645199999999999,0.0014505171491575259,10
"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2,False,0.9709160000000001,0.0015018151979816984,0.9670399999999999,0.0008669230390037834,0.96286,0.0016833828375559547,10
"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.0625,none,2,False,0.970934,0.0008724957815880409,0.9667199999999999,0.00046619023298793245,0.96283,0.0018227268948839753,10
