loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,id_count
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,1.0,none,2048,False,0.987518,0.0015963973328856403,0.98295,0.0005421151989097411,0.9810000000000001,0.0010893423092245673,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,1.0,none,0,False,0.987516,0.001692277886295398,0.98292,0.0004802776974487482,0.98085,0.0011167910378500434,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,1.0,none,512,False,0.98794,0.0011078708308181584,0.9831899999999999,0.00042804464979977213,0.9806699999999999,0.0008014570065408132,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0625,none,0,False,0.9829399999999999,0.00119495234679508,0.98117,0.0005735852159879976,0.97951,0.001142560477368446,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0625,none,2048,False,0.9829399999999999,0.0011949523467950905,0.98117,0.0005735852159879744,0.97951,0.0011425604773684381,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0625,none,512,False,0.982352,0.0012248972746043878,0.9804600000000001,0.0005440588203494346,0.97915,0.000955975359980013,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0625,none,512,False,0.982668,0.0012792428316086533,0.98127,0.0006880729935438768,0.9789300000000001,0.001350761102325491,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,1.0,none,0,False,0.985502,0.001994112445285967,0.98195,0.0010309111396128467,0.9789300000000001,0.0012614365708279649,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2048,False,0.981912,0.0015205320706179397,0.9804,0.0006565905201197362,0.9788600000000001,0.0011147495981908568,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0625,none,0,False,0.982348,0.000913172735272181,0.9804,0.0006992058987801076,0.97861,0.0013160969231447177,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,1.0,none,2048,False,0.9837580000000001,0.004007353795766565,0.9808600000000001,0.002132916625968638,0.97797,0.003061971042754411,10
"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,1.0,none,512,False,0.981848,0.0035339772998076104,0.98033,0.0016931561587100361,0.97751,0.001777920133189326,10
